team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,Into the Breach,Space,Mirage,13 - 10,W
,,,,,,,,,,,,,,Into the Breach,00NATION,Anubis,19 - 16,W
,,,,,,,,,,,,,,Into the Breach,INGLORIOUS,Ancient,11 - 13,L
,,,,,,,,,,,,,,Into the Breach,Looking4Org,Ancient,9 - 13,L
,,,,,,,,,,,,,,Into the Breach,Spirit,Vertigo,2 - 13,L
,,,,,,,,,,,,,,Into the Breach,BetBoom,Mirage,1 - 13,L
,,,,,,,,,,,,,,Into the Breach,Preasy,Vertigo,9 - 13,L
,,,,,,,,,,,,,,Into the Breach,Preasy,Inferno,6 - 13,L
,,,,,,,,,,,,,,Into the Breach,SINNERS,Mirage,13 - 4,W
,,,,,,,,,,,,,,Into the Breach,SINNERS,Ancient,13 - 4,W
,,,,,,,,,,,,,,Into the Breach,BLEED,Anubis,13 - 7,W
,,,,,,,,,,,,,,Into the Breach,BLEED,Mirage,8 - 13,L
,,,,,,,,,,,,,,Into the Breach,BLEED,Inferno,13 - 11,W
,,,,,,,,,,,,,,Into the Breach,BLEED,Vertigo,7 - 13,L
,,,,,,,,,,,,,,Into the Breach,BLEED,Inferno,9 - 13,L
,,,,,,,,,,,,,,Into the Breach,Gucci Academy,Anubis,16 - 14,W
,,,,,,,,,,,,,,Into the Breach,9 Pandas,Anubis,10 - 13,L
,,,,,,,,,,,,,,Into the Breach,9 Pandas,Ancient,16 - 14,W
,,,,,,,,,,,,,,Into the Breach,9 Pandas,Overpass,11 - 13,L
,,,,,,,,,,,,,,Into the Breach,The Witchers,Mirage,14 - 16,L
,,,,,,,,,,,,,,Into the Breach,The Witchers,Vertigo,7 - 13,L
,,,,,,,,,,,,,,Into the Breach,BetBoom,Vertigo,4 - 13,L
,,,,,,,,,,,,,,Into the Breach,BetBoom,Anubis,3 - 13,L
,,,,,,,,,,,,,,Into the Breach,BIG,Vertigo,9 - 13,L
,,,,,,,,,,,,,,Into the Breach,BIG,Anubis,11 - 13,L
,,,,,,,,,,,,,,Into the Breach,Anonymo,Overpass,13 - 6,W
,,,,,,,,,,,,,,Into the Breach,Anonymo,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Into the Breach,Space,Mirage,13 - 10,W
,,,,,,,,,,,,,,Into the Breach,Space,Anubis,13 - 6,W
,,,,,,,,,,,,,,Into the Breach,00NATION,Anubis,19 - 16,W
,,,,,,,,,,,,,,Into the Breach,00NATION,Mirage,13 - 4,W
,,,,,,,,,,,,,,Into the Breach,INGLORIOUS,Ancient,11 - 13,L
,,,,,,,,,,,,,,Into the Breach,Looking4Org,Ancient,9 - 13,L
,,,,,,,,,,,,,,Into the Breach,Looking4Org,Anubis,9 - 13,L
,,,,,,,,,,,,,,Into the Breach,Spirit,Vertigo,2 - 13,L
,,,,,,,,,,,,,,Into the Breach,Spirit,Ancient,13 - 16,L
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,13 - 6,W
,,,,,,,,,,,,,,Fluxo,ODDIK,Vertigo,13 - 11,W
,,,,,,,,,,,,,,Fluxo,ODDIK,Ancient,13 - 8,W
,,,,,,,,,,,,,,Fluxo,Solid,Inferno,13 - 5,W
,,,,,,,,,,,,,,Fluxo,MIBR,Inferno,16 - 14,W
,,,,,,,,,,,,,,Fluxo,Corinthians,Mirage,13 - 8,W
,,,,,,,,,,,,,,Fluxo,MIBR,Ancient,6 - 13,L
,,,,,,,,,,,,,,Fluxo,MIBR,Vertigo,2 - 13,L
,,,,,,,,,,,,,,Fluxo,Galorys,Nuke,3 - 13,L
,,,,,,,,,,,,,,Fluxo,Intense,Mirage,13 - 8,W
,,,,,,,,,,,,,,Fluxo,MIBR,Inferno,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Corinthians,Ancient,16 - 13,W
,,,,,,,,,,,,,,Fluxo,Solid,Mirage,13 - 16,L
,,,,,,,,,,,,,,Fluxo,Case,Ancient,13 - 11,W
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,13 - 4,W
,,,,,,,,,,,,,,Fluxo,W7M,Mirage,11 - 13,L
,,,,,,,,,,,,,,Fluxo,Solid,Vertigo,13 - 1,W
,,,,,,,,,,,,,,Fluxo,9z,Mirage,13 - 8,W
,,,,,,,,,,,,,,Fluxo,W7M,Nuke,13 - 8,W
,,,,,,,,,,,,,,Fluxo,Sharks,Nuke,13 - 5,W
,,,,,,,,,,,,,,Fluxo,Flamengo,Nuke,13 - 7,W
,,,,,,,,,,,,,,Fluxo,ODDIK,Nuke,13 - 8,W
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,9 - 13,L
,,,,,,,,,,,,,,Fluxo,adalYamigos,Mirage,13 - 7,W
,,,,,,,,,,,,,,Fluxo,G2,Ancient,5 - 13,L
,,,,,,,,,,,,,,Fluxo,BESTIA,Inferno,13 - 9,W
,,,,,,,,,,,,,,Fluxo,Meta,Nuke,13 - 9,W
,,,,,,,,,,,,,,Fluxo,RED Canids,Vertigo,10 - 13,L
,,,,,,,,,,,,,,Fluxo,BeBold,Overpass,13 - 11,W
,,,,,,,,,,,,,,Fluxo,Imperial,Nuke,13 - 8,W
,,,,,,,,,,,,,,Fluxo,Meta,Ancient,9 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,13 - 6,W
,,,,,,,,,,,,,,Fluxo,ODDIK,Vertigo,13 - 11,W
,,,,,,,,,,,,,,Fluxo,ODDIK,Ancient,13 - 8,W
,,,,,,,,,,,,,,Fluxo,ODDIK,Vertigo,13 - 2,W
,,,,,,,,,,,,,,Fluxo,Solid,Inferno,13 - 5,W
,,,,,,,,,,,,,,Fluxo,Solid,Vertigo,11 - 13,L
,,,,,,,,,,,,,,Fluxo,Solid,Mirage,13 - 5,W
,,,,,,,,,,,,,,Fluxo,MIBR,Inferno,16 - 14,W
,,,,,,,,,,,,,,Fluxo,Corinthians,Mirage,13 - 8,W
,,,,,,,,,,,,,,Fluxo,MIBR,Ancient,6 - 13,L
,,,,,,,,,,,,,,Fluxo,MIBR,Vertigo,13 - 9,W
,,,,,,,,,,,,,,Fluxo,MIBR,Nuke,11 - 13,L
,,,,,,,,,,,,,,Fluxo,MIBR,Vertigo,2 - 13,L
,,,,,,,,,,,,,,Fluxo,MIBR,Nuke,8 - 13,L
,,,,,,,,,,,,,,Fluxo,Galorys,Nuke,3 - 13,L
,,,,,,,,,,,,,,Fluxo,Intense,Mirage,13 - 8,W
,,,,,,,,,,,,,,Fluxo,MIBR,Inferno,13 - 10,W
,,,,,,,,,,,,,,Fluxo,MIBR,Nuke,13 - 7,W
,,,,,,,,,,,,,,Fluxo,Corinthians,Ancient,16 - 13,W
,,,,,,,,,,,,,,Fluxo,Corinthians,Mirage,13 - 9,W
,,,,,,,,,,,,,,Fluxo,Solid,Mirage,13 - 16,L
,,,,,,,,,,,,,,Fluxo,Case,Ancient,13 - 11,W
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,13 - 4,W
,,,,,,,,,,,,,,Fluxo,Imperial,Nuke,16 - 14,W
,,,,,,,,,,,,,,Fluxo,W7M,Mirage,11 - 13,L
,,,,,,,,,,,,,,Fluxo,Solid,Vertigo,13 - 1,W
,,,,,,,,,,,,,,Fluxo,Solid,Ancient,13 - 6,W
,,,,,,,,,,,,,,Fluxo,9z,Mirage,13 - 8,W
,,,,,,,,,,,,,,Fluxo,9z,Nuke,13 - 4,W
,,,,,,,,,,,,,,Fluxo,W7M,Nuke,13 - 8,W
,,,,,,,,,,,,,,Fluxo,Sharks,Nuke,13 - 5,W
,,,,,,,,,,,,,,Fluxo,Flamengo,Nuke,13 - 7,W
,,,,,,,,,,,,,,Fluxo,Flamengo,Inferno,13 - 7,W
,,,,,,,,,,,,,,Fluxo,ODDIK,Nuke,13 - 8,W
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,9 - 13,L
,,,,,,,,,,,,,,Fluxo,adalYamigos,Mirage,13 - 7,W
,,,,,,,,,,,,,,Fluxo,G2,Ancient,5 - 13,L
,,,,,,,,,,,,,,Fluxo,G2,Nuke,13 - 10,W
,,,,,,,,,,,,,,Fluxo,G2,Inferno,7 - 13,L
,,,,,,,,,,,,,,Fluxo,BESTIA,Inferno,13 - 9,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Nuke,13 - 7,W
,,,,,,,,,,,,,,Fluxo,Meta,Nuke,13 - 9,W
,,,,,,,,,,,,,,Fluxo,Meta,Vertigo,7 - 13,L
,,,,,,,,,,,,,,Fluxo,Meta,Ancient,19 - 15,W
,,,,,,,,,,,,,,Fluxo,RED Canids,Vertigo,10 - 13,L
,,,,,,,,,,,,,,Fluxo,RED Canids,Overpass,10 - 13,L
,,,,,,,,,,,,,,Fluxo,BeBold,Overpass,13 - 11,W
,,,,,,,,,,,,,,Fluxo,BeBold,Vertigo,13 - 2,W
,,,,,,,,,,,,,,Fluxo,Imperial,Nuke,13 - 8,W
,,,,,,,,,,,,,,Fluxo,Imperial,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Imperial,Anubis,9 - 13,L
,,,,,,,,,,,,,,Fluxo,Meta,Ancient,9 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Inferno,2 - 13,L
,,,,,,,,,,,,,,Fluxo,ODDIK,Inferno,13 - 10,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Nuke,11 - 13,L
,,,,,,,,,,,,,,Fluxo,MIBR,Ancient,8 - 13,L
,,,,,,,,,,,,,,Fluxo,Corinthians,Ancient,13 - 8,W
,,,,,,,,,,,,,,Fluxo,RED Canids,Mirage,14 - 16,L
,,,,,,,,,,,,,,Fluxo,BESTIA,Nuke,13 - 4,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Nuke,13 - 9,W
,,,,,,,,,,,,,,Fluxo,Galorys,Ancient,16 - 14,W
,,,,,,,,,,,,,,Fluxo,Solid,Ancient,7 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Mirage,19 - 17,W
,,,,,,,,,,,,,,Fluxo,Case,Ancient,4 - 13,L
,,,,,,,,,,,,,,Fluxo,Solid,Ancient,13 - 5,W
,,,,,,,,,,,,,,Fluxo,Case,Mirage,13 - 9,W
,,,,,,,,,,,,,,Fluxo,Sharks,Ancient,13 - 9,W
,,,,,,,,,,,,,,Fluxo,W7M,Ancient,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Solid,Mirage,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,14 - 16,L
,,,,,,,,,,,,,,Fluxo,Sharks,Ancient,13 - 6,W
,,,,,,,,,,,,,,Fluxo,Intense,Mirage,13 - 11,W
,,,,,,,,,,,,,,Fluxo,9z,Overpass,9 - 13,L
,,,,,,,,,,,,,,Fluxo,Case,Overpass,5 - 13,L
,,,,,,,,,,,,,,Fluxo,RED Canids,Ancient,7 - 13,L
,,,,,,,,,,,,,,Fluxo,Anonymo,Nuke,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Overpass,8 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,6 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Vertigo,4 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Mirage,6 - 13,L
,,,,,,,,,,,,,,Fluxo,Flamengo,Mirage,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Imperial,Inferno,2 - 13,L
,,,,,,,,,,,,,,Fluxo,ODDIK,Inferno,13 - 10,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Nuke,11 - 13,L
,,,,,,,,,,,,,,Fluxo,BESTIA,Inferno,4 - 13,L
,,,,,,,,,,,,,,Fluxo,MIBR,Ancient,8 - 13,L
,,,,,,,,,,,,,,Fluxo,Corinthians,Ancient,13 - 8,W
,,,,,,,,,,,,,,Fluxo,RED Canids,Mirage,14 - 16,L
,,,,,,,,,,,,,,Fluxo,RED Canids,Overpass,8 - 13,L
,,,,,,,,,,,,,,Fluxo,RED Canids,Nuke,16 - 13,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Nuke,13 - 4,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Inferno,13 - 10,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Nuke,13 - 9,W
,,,,,,,,,,,,,,Fluxo,BESTIA,Overpass,13 - 2,W
,,,,,,,,,,,,,,Fluxo,Galorys,Ancient,16 - 14,W
,,,,,,,,,,,,,,Fluxo,Solid,Ancient,7 - 13,L
,,,,,,,,,,,,,,Fluxo,Solid,Inferno,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Mirage,19 - 17,W
,,,,,,,,,,,,,,Fluxo,Sharks,Vertigo,13 - 16,L
,,,,,,,,,,,,,,Fluxo,Sharks,Nuke,13 - 3,W
,,,,,,,,,,,,,,Fluxo,Case,Ancient,4 - 13,L
,,,,,,,,,,,,,,Fluxo,Case,Nuke,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Case,Inferno,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Solid,Ancient,13 - 5,W
,,,,,,,,,,,,,,Fluxo,Case,Mirage,13 - 9,W
,,,,,,,,,,,,,,Fluxo,Sharks,Ancient,13 - 9,W
,,,,,,,,,,,,,,Fluxo,Sharks,Inferno,13 - 11,W
,,,,,,,,,,,,,,Fluxo,W7M,Ancient,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Solid,Mirage,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,14 - 16,L
,,,,,,,,,,,,,,Fluxo,Sharks,Ancient,13 - 6,W
,,,,,,,,,,,,,,Fluxo,Intense,Mirage,13 - 11,W
,,,,,,,,,,,,,,Fluxo,9z,Overpass,9 - 13,L
,,,,,,,,,,,,,,Fluxo,9z,Mirage,14 - 16,L
,,,,,,,,,,,,,,Fluxo,Case,Overpass,5 - 13,L
,,,,,,,,,,,,,,Fluxo,Case,Nuke,11 - 13,L
,,,,,,,,,,,,,,Fluxo,Case,Ancient,19 - 16,W
,,,,,,,,,,,,,,Fluxo,RED Canids,Ancient,7 - 13,L
,,,,,,,,,,,,,,Fluxo,Anonymo,Nuke,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Anonymo,Inferno,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Overpass,8 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Vertigo,2 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,9 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Sharks,Nuke,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Sharks,Ancient,9 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Mirage,6 - 13,L
,,,,,,,,,,,,,,Fluxo,Imperial,Vertigo,13 - 7,W
,,,,,,,,,,,,,,Fluxo,Imperial,Inferno,11 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Vertigo,4 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Anubis,6 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Mirage,6 - 13,L
,,,,,,,,,,,,,,Fluxo,Sharks,Anubis,10 - 13,L
,,,,,,,,,,,,,,Fluxo,Flamengo,Mirage,13 - 10,W
,,,,,,,,,,,,,,Fluxo,Flamengo,Vertigo,13 - 9,W
,,,,,,,,,,,,,,HEROIC,G2,Nuke,13 - 16,L
,,,,,,,,,,,,,,HEROIC,9z,Mirage,13 - 8,W
,,,,,,,,,,,,,,HEROIC,paiN,Mirage,9 - 13,L
,,,,,,,,,,,,,,HEROIC,Complexity,Vertigo,17 - 19,L
,,,,,,,,,,,,,,HEROIC,Eternal Fire,Mirage,13 - 7,W
,,,,,,,,,,,,,,HEROIC,Lynn Vision,Nuke,13 - 5,W
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Mirage,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Preasy,Ancient,13 - 11,W
,,,,,,,,,,,,,,HEROIC,Ninjas in Pyjamas,Mirage,16 - 14,W
,,,,,,,,,,,,,,HEROIC,Spirit,Nuke,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Overpass,3 - 13,L
,,,,,,,,,,,,,,HEROIC,G2,Nuke,8 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Vertigo,16 - 13,W
,,,,,,,,,,,,,,HEROIC,BIG,Anubis,13 - 7,W
,,,,,,,,,,,,,,HEROIC,BIG,Anubis,14 - 16,L
,,,,,,,,,,,,,,HEROIC,sYnck,Mirage,13 - 9,W
,,,,,,,,,,,,,,HEROIC,KOI,Nuke,14 - 16,L
,,,,,,,,,,,,,,HEROIC,FORZE,Anubis,13 - 9,W
,,,,,,,,,,,,,,HEROIC,IKLA,Overpass,19 - 15,W
,,,,,,,,,,,,,,HEROIC,HAVU,Mirage,13 - 6,W
,,,,,,,,,,,,,,HEROIC,MOUZ,Mirage,5 - 13,L
,,,,,,,,,,,,,,HEROIC,Cloud9,Inferno,5 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Inferno,9 - 13,L
,,,,,,,,,,,,,,HEROIC,BIG,Vertigo,13 - 9,W
,,,,,,,,,,,,,,HEROIC,Aurora,Overpass,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Aurora,Mirage,13 - 8,W
,,,,,,,,,,,,,,HEROIC,G2,Nuke,13 - 16,L
,,,,,,,,,,,,,,HEROIC,G2,Ancient,10 - 13,L
,,,,,,,,,,,,,,HEROIC,9z,Mirage,13 - 8,W
,,,,,,,,,,,,,,HEROIC,9z,Nuke,13 - 11,W
,,,,,,,,,,,,,,HEROIC,paiN,Mirage,9 - 13,L
,,,,,,,,,,,,,,HEROIC,paiN,Nuke,6 - 13,L
,,,,,,,,,,,,,,HEROIC,Complexity,Vertigo,17 - 19,L
,,,,,,,,,,,,,,HEROIC,Eternal Fire,Mirage,13 - 7,W
,,,,,,,,,,,,,,HEROIC,Eternal Fire,Vertigo,16 - 14,W
,,,,,,,,,,,,,,HEROIC,Lynn Vision,Nuke,13 - 5,W
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Mirage,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Overpass,10 - 13,L
,,,,,,,,,,,,,,HEROIC,Preasy,Ancient,13 - 11,W
,,,,,,,,,,,,,,HEROIC,Preasy,Vertigo,9 - 13,L
,,,,,,,,,,,,,,HEROIC,Preasy,Nuke,13 - 4,W
,,,,,,,,,,,,,,HEROIC,Ninjas in Pyjamas,Mirage,16 - 14,W
,,,,,,,,,,,,,,HEROIC,Ninjas in Pyjamas,Vertigo,13 - 6,W
,,,,,,,,,,,,,,HEROIC,Spirit,Nuke,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Spirit,Anubis,8 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Overpass,3 - 13,L
,,,,,,,,,,,,,,HEROIC,G2,Nuke,8 - 13,L
,,,,,,,,,,,,,,HEROIC,G2,Vertigo,9 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Vertigo,16 - 13,W
,,,,,,,,,,,,,,HEROIC,Vitality,Anubis,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Mirage,16 - 14,W
,,,,,,,,,,,,,,HEROIC,BIG,Anubis,13 - 7,W
,,,,,,,,,,,,,,HEROIC,BIG,Vertigo,7 - 13,L
,,,,,,,,,,,,,,HEROIC,BIG,Nuke,13 - 8,W
,,,,,,,,,,,,,,HEROIC,BIG,Anubis,14 - 16,L
,,,,,,,,,,,,,,HEROIC,BIG,Nuke,9 - 13,L
,,,,,,,,,,,,,,HEROIC,BIG,Vertigo,16 - 12,W
,,,,,,,,,,,,,,HEROIC,sYnck,Mirage,13 - 9,W
,,,,,,,,,,,,,,HEROIC,sYnck,Nuke,13 - 4,W
,,,,,,,,,,,,,,HEROIC,KOI,Nuke,14 - 16,L
,,,,,,,,,,,,,,HEROIC,FORZE,Anubis,13 - 9,W
,,,,,,,,,,,,,,HEROIC,IKLA,Overpass,19 - 15,W
,,,,,,,,,,,,,,HEROIC,HAVU,Mirage,13 - 6,W
,,,,,,,,,,,,,,HEROIC,MOUZ,Mirage,5 - 13,L
,,,,,,,,,,,,,,HEROIC,MOUZ,Nuke,7 - 13,L
,,,,,,,,,,,,,,HEROIC,Cloud9,Inferno,5 - 13,L
,,,,,,,,,,,,,,HEROIC,Cloud9,Nuke,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Inferno,9 - 13,L
,,,,,,,,,,,,,,HEROIC,Vitality,Nuke,6 - 13,L
,,,,,,,,,,,,,,HEROIC,BIG,Vertigo,13 - 9,W
,,,,,,,,,,,,,,HEROIC,BIG,Nuke,13 - 7,W
,,,,,,,,,,,,,,HEROIC,BIG,Ancient,9 - 13,L
,,,,,,,,,,,,,,HEROIC,Aurora,Overpass,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Aurora,Nuke,13 - 7,W
,,,,,,,,,,,,,,HEROIC,Aurora,Ancient,14 - 16,L
,,,,,,,,,,,,,,HEROIC,Aurora,Mirage,13 - 8,W
,,,,,,,,,,,,,,HEROIC,Aurora,Nuke,13 - 9,W
,,,,,,,,,,,,,,HEROIC,Aurora,Overpass,14 - 16,L
,,,,,,,,,,,,,,HEROIC,FURIA,Overpass,13 - 11,W
,,,,,,,,,,,,,,HEROIC,Liquid,Ancient,8 - 13,L
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Ancient,6 - 13,L
,,,,,,,,,,,,,,HEROIC,FaZe,Ancient,13 - 10,W
,,,,,,,,,,,,,,HEROIC,Imperial,Mirage,16 - 14,W
,,,,,,,,,,,,,,HEROIC,Metizport,Anubis,13 - 5,W
,,,,,,,,,,,,,,HEROIC,ENCE,Overpass,13 - 5,W
,,,,,,,,,,,,,,HEROIC,OG,Mirage,6 - 13,L
,,,,,,,,,,,,,,HEROIC,GamerLegion,Mirage,13 - 9,W
,,,,,,,,,,,,,,HEROIC,Astralis,Mirage,13 - 7,W
,,,,,,,,,,,,,,HEROIC,Preasy,Ancient,13 - 9,W
,,,,,,,,,,,,,,HEROIC,GamerLegion,Nuke,13 - 8,W
,,,,,,,,,,,,,,HEROIC,G2,Nuke,6 - 13,L
,,,,,,,,,,,,,,HEROIC,Astralis,Mirage,13 - 11,W
,,,,,,,,,,,,,,HEROIC,Cloud9,Anubis,1 - 13,L
,,,,,,,,,,,,,,HEROIC,IKLA,Overpass,13 - 3,W
,,,,,,,,,,,,,,HEROIC,MOUZ,Ancient,12 - 16,L
,,,,,,,,,,,,,,HEROIC,SINNERS,Mirage,13 - 5,W
,,,,,,,,,,,,,,HEROIC,sYnck,Ancient,13 - 7,W
,,,,,,,,,,,,,,HEROIC,GUN5,Ancient,13 - 6,W
,,,,,,,,,,,,,,HEROIC,FaZe,Ancient,14 - 16,L
,,,,,,,,,,,,,,HEROIC,Astralis,Overpass,16 - 13,W
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Overpass,10 - 13,L
,,,,,,,,,,,,,,HEROIC,Nouns,Vertigo,13 - 4,W
,,,,,,,,,,,,,,HEROIC,FURIA,Mirage,7 - 13,L
,,,,,,,,,,,,,,HEROIC,FURIA,Overpass,13 - 11,W
,,,,,,,,,,,,,,HEROIC,FURIA,Nuke,13 - 6,W
,,,,,,,,,,,,,,HEROIC,FURIA,Ancient,6 - 13,L
,,,,,,,,,,,,,,HEROIC,Liquid,Ancient,8 - 13,L
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Ancient,6 - 13,L
,,,,,,,,,,,,,,HEROIC,FaZe,Ancient,13 - 10,W
,,,,,,,,,,,,,,HEROIC,Imperial,Mirage,16 - 14,W
,,,,,,,,,,,,,,HEROIC,Metizport,Anubis,13 - 5,W
,,,,,,,,,,,,,,HEROIC,Metizport,Vertigo,13 - 4,W
,,,,,,,,,,,,,,HEROIC,ENCE,Overpass,13 - 5,W
,,,,,,,,,,,,,,HEROIC,ENCE,Nuke,10 - 13,L
,,,,,,,,,,,,,,HEROIC,ENCE,Ancient,13 - 11,W
,,,,,,,,,,,,,,HEROIC,OG,Mirage,6 - 13,L
,,,,,,,,,,,,,,HEROIC,OG,Vertigo,5 - 13,L
,,,,,,,,,,,,,,HEROIC,GamerLegion,Mirage,13 - 9,W
,,,,,,,,,,,,,,HEROIC,GamerLegion,Overpass,13 - 5,W
,,,,,,,,,,,,,,HEROIC,Astralis,Mirage,13 - 7,W
,,,,,,,,,,,,,,HEROIC,Preasy,Ancient,13 - 9,W
,,,,,,,,,,,,,,HEROIC,GamerLegion,Nuke,13 - 8,W
,,,,,,,,,,,,,,HEROIC,GamerLegion,Mirage,13 - 4,W
,,,,,,,,,,,,,,HEROIC,GamerLegion,Overpass,5 - 13,L
,,,,,,,,,,,,,,HEROIC,G2,Nuke,6 - 13,L
,,,,,,,,,,,,,,HEROIC,G2,Anubis,16 - 13,W
,,,,,,,,,,,,,,HEROIC,G2,Overpass,13 - 16,L
,,,,,,,,,,,,,,HEROIC,Astralis,Mirage,13 - 11,W
,,,,,,,,,,,,,,HEROIC,Cloud9,Anubis,1 - 13,L
,,,,,,,,,,,,,,HEROIC,Cloud9,Mirage,5 - 13,L
,,,,,,,,,,,,,,HEROIC,IKLA,Overpass,13 - 3,W
,,,,,,,,,,,,,,HEROIC,IKLA,Nuke,13 - 4,W
,,,,,,,,,,,,,,HEROIC,MOUZ,Ancient,12 - 16,L
,,,,,,,,,,,,,,HEROIC,SINNERS,Mirage,13 - 5,W
,,,,,,,,,,,,,,HEROIC,sYnck,Ancient,13 - 7,W
,,,,,,,,,,,,,,HEROIC,sYnck,Anubis,13 - 1,W
,,,,,,,,,,,,,,HEROIC,GUN5,Ancient,13 - 6,W
,,,,,,,,,,,,,,HEROIC,FaZe,Ancient,14 - 16,L
,,,,,,,,,,,,,,HEROIC,FaZe,Overpass,3 - 13,L
,,,,,,,,,,,,,,HEROIC,Astralis,Overpass,16 - 13,W
,,,,,,,,,,,,,,HEROIC,Astralis,Vertigo,13 - 8,W
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Overpass,10 - 13,L
,,,,,,,,,,,,,,HEROIC,Virtus.pro,Vertigo,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Nouns,Vertigo,13 - 4,W
,,,,,,,,,,,,,,HEROIC,Nouns,Mirage,11 - 13,L
,,,,,,,,,,,,,,HEROIC,Nouns,Nuke,13 - 5,W
,,,,,,,,,,,,,,HEROIC,FURIA,Mirage,7 - 13,L
,,,,,,,,,,,,,,HEROIC,FURIA,Ancient,10 - 13,L
,,,,,,,,,,,,,,HEROIC,FURIA,Nuke,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Liquid,Mirage,13 - 6,W
,,,,,,,,,,,,,,MOUZ,TYLOO,Overpass,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Complexity,Ancient,13 - 2,W
,,,,,,,,,,,,,,MOUZ,ECSTATIC,Overpass,13 - 11,W
,,,,,,,,,,,,,,MOUZ,ECSTATIC,Overpass,13 - 8,W
,,,,,,,,,,,,,,MOUZ,FaZe,Ancient,11 - 13,L
,,,,,,,,,,,,,,MOUZ,GamerLegion,Ancient,13 - 6,W
,,,,,,,,,,,,,,MOUZ,Preasy,Nuke,13 - 9,W
,,,,,,,,,,,,,,MOUZ,Eternal Fire,Nuke,8 - 13,L
