team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,GamerLegion,aNdu,229,54.1%,226,1.01,13,1.08,Imperial,FURIA,Vertigo,6 - 13,L
,,,,,,Permitta,morelz,2414,51.4%,2455,0.98,160,1.05,Imperial,FURIA,Nuke,7 - 13,L
,,,,,,Permitta,Vegi,1635,53.1%,1644,0.99,115,1.04,Imperial,2GAME,Inferno,13 - 4,W
,,,,,,Permitta,maaryy,2055,50.5%,2050,1.00,146,1.05,Imperial,adalYamigos,Anubis,13 - 7,W
,,,,,,Permitta,bnox,2232,56.1%,2315,0.96,160,1.05,Imperial,adalYamigos,Mirage,13 - 11,W
,,,,,,Permitta,mASKED,1455,33.7%,1458,1.00,104,1.00,Imperial,Galorys,Anubis,13 - 10,W
,,,,,,Solid,Lcm,1502,34.6%,1533,0.98,114,1.00,Imperial,Fluxo,Mirage,16 - 14,W
,,,,,,Solid,gbb,1849,49.7%,1679,1.10,114,1.16,Imperial,Yawara,Anubis,13 - 8,W
,,,,,,Solid,CSO,1518,59.6%,1693,0.90,114,0.97,Imperial,RED Canids,Overpass,3 - 13,L
,,,,,,Solid,xureba,1611,49.8%,1638,0.98,114,1.06,Imperial,9z,Overpass,13 - 10,W
,,,,,,BESTIA,Noktse,1809,33.9%,1860,0.97,130,1.01,Imperial,9z,Mirage,13 - 9,W
,,,,,,BESTIA,meyern,1924,56.1%,1894,1.02,129,1.07,Imperial,BESTIA,Overpass,13 - 7,W
,,,,,,BESTIA,luchov,1875,63.8%,1950,0.96,125,1.08,Imperial,BESTIA,Overpass,13 - 9,W
,,,,,,BESTIA,naz,663,60.8%,757,0.88,47,0.98,Imperial,BESTIA,Inferno,16 - 12,W
,,,,,,BESTIA,tomaszin,1936,54.9%,1883,1.03,125,1.07,Imperial,BESTIA,Nuke,13 - 3,W
,,,,,,ODDIK,WOOD7,1670,33.5%,1795,0.93,129,0.98,Imperial,paiN,Anubis,16 - 13,W
,,,,,,ODDIK,Tuurtle,1858,58.9%,1828,1.02,129,1.05,Imperial,paiN,Nuke,13 - 11,W
,,,,,,ODDIK,ponter,1827,52.7%,1839,0.99,129,1.03,Imperial,BESTIA,Anubis,11 - 13,L
,,,,,,ODDIK,naitte,1934,61.4%,2041,0.95,129,1.07,Imperial,Legacy,Anubis,18 - 22,L
,,,,,,ODDIK,matios,1849,55.3%,1880,0.98,129,1.04,Imperial,Corinthians,Mirage,13 - 4,W
,,,,,,PGE Turow,Markoś,1023,33.7%,888,1.15,65,1.14,Imperial,Corinthians,Nuke,13 - 2,W
,,,,,,PGE Turow,darko,885,49.5%,980,0.90,67,0.98,Imperial,Fluxo,Overpass,13 - 8,W
,,,,,,PGE Turow,kadziu,934,59.1%,1005,0.93,67,0.99,Imperial,Fluxo,Vertigo,13 - 2,W
,,,,,,Mythic,freakazoid,884,55.3%,923,0.96,58,1.08,Imperial,Fluxo,Mirage,13 - 9,W
,,,,,,Mythic,fl0m,928,48.2%,997,0.93,65,1.03,Imperial,Sharks,Nuke,13 - 7,W
,,,,,,Mythic,Cooper,979,40.4%,987,0.99,63,1.07,Imperial,Sharks,Mirage,13 - 5,W
,,,,,,Mythic,hate,838,49.8%,879,0.95,58,1.00,Imperial,ODDIK,Vertigo,11 - 13,L
,,,,,,Mythic,Trucklover86,914,64.8%,1000,0.91,65,0.98,Imperial,ODDIK,Nuke,5 - 13,L
,,,,,,Nexus,BTN,873,52.6%,1122,0.78,72,0.89,Imperial,BESTIA,Inferno,11 - 13,L
,,,,,,Nexus,XELLOW,1132,43.5%,1022,1.11,74,1.09,Imperial,BESTIA,Anubis,9 - 13,L
,,,,,,Nexus,ragga,1062,53.2%,1112,0.96,74,1.05,Imperial,BESTIA,Mirage,16 - 14,W
,,,,,,Nexus,s0und,1161,66.8%,1134,1.02,76,1.09,Imperial,Intense,Nuke,13 - 5,W
,,,,,,Nexus,ERSIN,613,57.4%,683,0.90,47,0.98,Imperial,Intense,Anubis,13 - 4,W
,,,,,,Entropiq,tiziaN,1709,55.5%,1990,0.86,127,0.95,Imperial,BESTIA,Anubis,7 - 13,L
,,,,,,Entropiq,Marix,1909,56.1%,1964,0.97,131,1.01,Imperial,BESTIA,Inferno,13 - 8,W
,,,,,,W7M,zede,1521,61.6%,1672,0.91,113,0.97,Imperial,BESTIA,Mirage,11 - 13,L
,,,,,,W7M,fokiu,1581,55.0%,1826,0.87,113,1.00,Imperial,Fluxo,Nuke,8 - 13,L
,,,,,,W7M,stormzyn,1308,54.8%,1711,0.76,113,0.86,Imperial,Fluxo,Vertigo,10 - 13,L
,,,,,,W7M,saadzin,1747,38.9%,1471,1.19,113,1.13,Imperial,Fluxo,Anubis,13 - 9,W
,,,,,,Flamengo,LUCAS1,583,47.3%,551,1.06,39,1.12,Imperial,BESTIA,Inferno,11 - 13,L
,,,,,,Flamengo,ALLE,1397,50.7%,1488,0.94,100,1.03,Imperial,BESTIA,Anubis,11 - 13,L
,,,,,,Flamengo,danoco,1234,55.1%,1372,0.90,86,1.03,Imperial,ODDIK,Overpass,13 - 5,W
,,,,,,Flamengo,Alisson,828,53.0%,995,0.83,65,0.93,Imperial,ODDIK,Anubis,11 - 13,L
,,,,,,Flamengo,zock9,337,38.6%,383,0.88,27,0.88,Imperial,ODDIK,Nuke,13 - 1,W
,,,,,,,,,,,,,,Imperial,Boca Juniors,Anubis,13 - 9,W
,,,,,,,,,,,,,,Imperial,Boca Juniors,Mirage,13 - 4,W
,,,,,,,,,,,,,,NRG,BOSS,Mirage,13 - 7,W
,,,,,,,,,,,,,,NRG,Carpe Diem,Nuke,13 - 6,W
,,,,,,,,,,,,,,NRG,Nouns,Mirage,19 - 16,W
,,,,,,,,,,,,,,NRG,MIGHT,Overpass,13 - 1,W
,,,,,,,,,,,,,,NRG,FLUFFY AIMERS,Ancient,13 - 4,W
,,,,,,,,,,,,,,NRG,Limitless,Nuke,13 - 7,W
,,,,,,,,,,,,,,NRG,Carpe Diem,Vertigo,6 - 13,L
,,,,,,,,,,,,,,NRG,Imperial,Overpass,2 - 13,L
,,,,,,,,,,,,,,NRG,Limitless,Inferno,13 - 2,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Vertigo,10 - 13,L
,,,,,,,,,,,,,,NRG,Party Astronauts,Anubis,12 - 16,L
,,,,,,,,,,,,,,NRG,Mythic,Mirage,16 - 13,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Inferno,13 - 6,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Inferno,13 - 10,W
,,,,,,,,,,,,,,NRG,Badass,Overpass,13 - 6,W
,,,,,,,,,,,,,,NRG,Badass,Ancient,9 - 13,L
,,,,,,,,,,,,,,NRG,Shimmer,Ancient,13 - 0,W
,,,,,,,,,,,,,,NRG,LOS,Mirage,13 - 6,W
,,,,,,,,,,,,,,NRG,Complexity,Ancient,21 - 25,L
,,,,,,,,,,,,,,NRG,Liquid,Anubis,3 - 13,L
,,,,,,,,,,,,,,NRG,MagicLight,Inferno,13 - 9,W
,,,,,,,,,,,,,,NRG,Datejust,Anubis,13 - 5,W
,,,,,,,,,,,,,,NRG,Wildcard,Anubis,13 - 10,W
,,,,,,,,,,,,,,NRG,M80,Ancient,7 - 13,L
,,,,,,,,,,,,,,NRG,BOSS,Mirage,13 - 7,W
,,,,,,,,,,,,,,NRG,Carpe Diem,Nuke,13 - 6,W
,,,,,,,,,,,,,,NRG,Nouns,Mirage,19 - 16,W
,,,,,,,,,,,,,,NRG,MIGHT,Overpass,13 - 1,W
,,,,,,,,,,,,,,NRG,FLUFFY AIMERS,Ancient,13 - 4,W
,,,,,,,,,,,,,,NRG,Limitless,Nuke,13 - 7,W
,,,,,,,,,,,,,,NRG,Carpe Diem,Vertigo,6 - 13,L
,,,,,,,,,,,,,,NRG,Imperial,Overpass,2 - 13,L
,,,,,,,,,,,,,,NRG,Limitless,Inferno,13 - 2,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Vertigo,10 - 13,L
,,,,,,,,,,,,,,NRG,Party Astronauts,Anubis,12 - 16,L
,,,,,,,,,,,,,,NRG,Party Astronauts,Inferno,11 - 13,L
,,,,,,,,,,,,,,NRG,Mythic,Mirage,16 - 13,W
,,,,,,,,,,,,,,NRG,Mythic,Overpass,13 - 9,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Inferno,13 - 6,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Inferno,13 - 10,W
,,,,,,,,,,,,,,NRG,Badass,Overpass,13 - 6,W
,,,,,,,,,,,,,,NRG,Badass,Ancient,9 - 13,L
,,,,,,,,,,,,,,NRG,Shimmer,Ancient,13 - 0,W
,,,,,,,,,,,,,,NRG,LOS,Mirage,13 - 6,W
,,,,,,,,,,,,,,NRG,LOS,Anubis,13 - 1,W
,,,,,,,,,,,,,,NRG,Complexity,Ancient,21 - 25,L
,,,,,,,,,,,,,,NRG,Liquid,Anubis,3 - 13,L
,,,,,,,,,,,,,,NRG,MagicLight,Inferno,13 - 9,W
,,,,,,,,,,,,,,NRG,MagicLight,Vertigo,13 - 5,W
,,,,,,,,,,,,,,NRG,Datejust,Anubis,13 - 5,W
,,,,,,,,,,,,,,NRG,Datejust,Ancient,13 - 3,W
,,,,,,,,,,,,,,NRG,Wildcard,Anubis,13 - 10,W
,,,,,,,,,,,,,,NRG,Wildcard,Vertigo,13 - 3,W
,,,,,,,,,,,,,,NRG,Wildcard,Inferno,13 - 16,L
,,,,,,,,,,,,,,NRG,M80,Ancient,7 - 13,L
,,,,,,,,,,,,,,NRG,M80,Inferno,13 - 6,W
,,,,,,,,,,,,,,NRG,M80,Anubis,4 - 13,L
,,,,,,,,,,,,,,NRG,BOSS,Ancient,8 - 13,L
,,,,,,,,,,,,,,NRG,Carpe Diem,Ancient,13 - 3,W
,,,,,,,,,,,,,,NRG,Nouns,Nuke,9 - 13,L
,,,,,,,,,,,,,,NRG,MIGHT,Mirage,13 - 5,W
,,,,,,,,,,,,,,NRG,FLUFFY AIMERS,Mirage,10 - 13,L
,,,,,,,,,,,,,,NRG,Limitless,Ancient,13 - 4,W
,,,,,,,,,,,,,,NRG,MIBR,Anubis,13 - 16,L
,,,,,,,,,,,,,,NRG,Wildcard,Inferno,10 - 13,L
,,,,,,,,,,,,,,NRG,Mythic,Overpass,13 - 8,W
,,,,,,,,,,,,,,NRG,Wildcard,Inferno,13 - 8,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Vertigo,16 - 13,W
,,,,,,,,,,,,,,NRG,timbermen,Vertigo,6 - 13,L
,,,,,,,,,,,,,,NRG,Wildcard,Overpass,8 - 13,L
,,,,,,,,,,,,,,NRG,Wildcard,Anubis,4 - 13,L
,,,,,,,,,,,,,,NRG,squids,Overpass,13 - 0,W
,,,,,,,,,,,,,,NRG,regain,Anubis,13 - 0,W
,,,,,,,,,,,,,,NRG,Rocket,Mirage,13 - 16,L
,,,,,,,,,,,,,,NRG,Nouns,Inferno,8 - 13,L
,,,,,,,,,,,,,,NRG,Badass,Ancient,16 - 14,W
,,,,,,,,,,,,,,NRG,my life be like,Ancient,13 - 7,W
,,,,,,,,,,,,,,NRG,LAG,Anubis,13 - 1,W
